timestamp,model,categories,size,accuracy,C,gamma
2025-07-18T18:27:09.377390,rbf,Horreur|Animation,10x10,0.7377,10,0.01
2025-07-18T18:27:10.829348,rbf,Horreur|Animation,10x10,0.7402,10,0.1
2025-07-18T18:27:12.209048,rbf,Horreur|Animation,10x10,0.5079,10,1
2025-07-18T18:27:13.639750,rbf,Horreur|Animation,10x10,0.5074,10,10
2025-07-18T18:27:14.997605,rbf,Horreur|Animation,10x10,0.5074,10,100
2025-07-18T18:27:23.707592,rbf,Horreur|Animation,10x10,0.7519,100,0.01
2025-07-18T18:27:32.834496,rbf,Horreur|Animation,10x10,0.7468,100,0.1
2025-07-18T18:27:41.814555,rbf,Horreur|Animation,10x10,0.5079,100,1
2025-07-18T18:27:51.708057,rbf,Horreur|Animation,10x10,0.5079,100,10
2025-07-18T18:28:00.351705,rbf,Horreur|Animation,10x10,0.5079,100,100
2025-07-18T18:29:56.157648,rbf,Horreur|Animation,10x10,0.7519,500,0.01
2025-07-18T18:31:44.419659,rbf,Horreur|Animation,10x10,0.7341,500,0.1
2025-07-18T18:33:36.430979,rbf,Horreur|Animation,10x10,0.4972,500,1
2025-07-18T18:35:18.985610,rbf,Horreur|Animation,10x10,0.5114,500,10
2025-07-18T18:36:57.954887,rbf,Horreur|Animation,10x10,0.5114,500,100
2025-07-18T18:37:00.841614,rbf,Horreur|Animation|Action,10x10,0.7382,10,0.01
2025-07-18T18:37:02.097614,rbf,Horreur|Animation|Action,10x10,0.726,10,0.1
2025-07-18T18:37:03.381188,rbf,Horreur|Animation|Action,10x10,0.5048,10,1
2025-07-18T18:37:04.734678,rbf,Horreur|Animation|Action,10x10,0.5074,10,10
2025-07-18T18:37:06.023086,rbf,Horreur|Animation|Action,10x10,0.5074,10,100
2025-07-18T18:37:13.695283,rbf,Horreur|Animation|Action,10x10,0.7448,100,0.01
2025-07-18T18:37:21.342133,rbf,Horreur|Animation|Action,10x10,0.7458,100,0.1
2025-07-18T18:37:29.011203,rbf,Horreur|Animation|Action,10x10,0.5079,100,1
2025-07-18T18:37:37.791376,rbf,Horreur|Animation|Action,10x10,0.5079,100,10
2025-07-18T18:37:59.314666,rbf,Horreur|Animation|Action,10x10,0.5079,100,100
2025-07-18T18:39:49.340714,rbf,Horreur|Animation|Action,10x10,0.7478,500,0.01
2025-07-18T18:41:41.934754,rbf,Horreur|Animation|Action,10x10,0.7443,500,0.1
2025-07-18T18:43:27.501183,rbf,Horreur|Animation|Action,10x10,0.4937,500,1
2025-07-18T18:45:10.152791,rbf,Horreur|Animation|Action,10x10,0.516,500,10
2025-07-18T18:46:48.767890,rbf,Horreur|Animation|Action,10x10,0.516,500,100
